Entity,Code,Date,Confirmed COVID-19 deaths per million people (deaths per million),Year,Population density (people per sq. km of land area) (Rate)
Angola,AGO,26-Feb-20,,2017,23.89042512
Angola,AGO,27-Feb-20,,2017,23.89042512
Angola,AGO,28-Feb-20,,2017,23.89042512
Angola,AGO,29-Feb-20,,2017,23.89042512
Angola,AGO,01-Mar-20,,2017,23.89042512
Angola,AGO,02-Mar-20,,2017,23.89042512
Angola,AGO,03-Mar-20,,2017,23.89042512
Angola,AGO,04-Mar-20,,2017,23.89042512
Angola,AGO,05-Mar-20,,2017,23.89042512
Angola,AGO,06-Mar-20,,2017,23.89042512
Angola,AGO,07-Mar-20,,2017,23.89042512
Angola,AGO,08-Mar-20,,2017,23.89042512
Angola,AGO,09-Mar-20,,2017,23.89042512
Angola,AGO,10-Mar-20,,2017,23.89042512
Angola,AGO,11-Mar-20,,2017,23.89042512
Angola,AGO,12-Mar-20,,2017,23.89042512
Angola,AGO,13-Mar-20,,2017,23.89042512
Angola,AGO,14-Mar-20,,2017,23.89042512
Angola,AGO,15-Mar-20,,2017,23.89042512
Angola,AGO,16-Mar-20,,2017,23.89042512
Angola,AGO,17-Mar-20,,2017,23.89042512
Angola,AGO,18-Mar-20,,2017,23.89042512
Angola,AGO,19-Mar-20,,2017,23.89042512
Angola,AGO,20-Mar-20,,2017,23.89042512
Angola,AGO,21-Mar-20,,2017,23.89042512
Angola,AGO,22-Mar-20,0,2017,23.89042512
Angola,AGO,23-Mar-20,0,2017,23.89042512
Angola,AGO,24-Mar-20,0,2017,23.89042512
Angola,AGO,25-Mar-20,0,2017,23.89042512
Angola,AGO,26-Mar-20,0,2017,23.89042512
Angola,AGO,27-Mar-20,0,2017,23.89042512
Angola,AGO,28-Mar-20,0,2017,23.89042512
Angola,AGO,29-Mar-20,0,2017,23.89042512
Angola,AGO,30-Mar-20,0.061,2017,23.89042512
Angola,AGO,31-Mar-20,0.061,2017,23.89042512
Angola,AGO,01-Apr-20,0.061,2017,23.89042512
Angola,AGO,02-Apr-20,0.061,2017,23.89042512
